Channel A QCM Time [sec],Channel A Fundamental Boffs [mS],Channel A Fundamental Dissipation [ ],Channel A Fundamental Fi [rad],Channel A Flow [ul/min],Channel A Fundamental Frequency [Hz],Channel A Fundamental FWHM [Hz],Channel A Fundamental Gmax [mS],Channel A Fundamental Goffs [mS],Channel A Fundamental Q [ ],Channel A Fundamental Residual [ ],Channel A Fundamental Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A Fundamental Dissipation Variation [ ],Channel A Fundamental Frequency Variation [Hz],Channel A Fundamental FWHM Variation[Hz],Channel A 3. Boffs [mS],Channel A 3. Dissipation  [ ],Channel A 3. Fi [rad],Channel A Flow [ul/min],Channel A 3. Overtone [Hz],Channel A 3. FWHM [Hz],Channel A 3. Gmax [mS],Channel A 3. Goffs [mS],Channel A 3. Q  [ ],Channel A 3. Residual  [ ],Channel A 3. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 3. Dissipation Variation [ ],Channel A 3. Overtone Variation [Hz],Channel A 3. FWHM Variation [Hz],Channel A 5. Boffs [mS],Channel A 5. Dissipation  [ ],Channel A 5. Fi [rad],Channel A Flow [ul/min],Channel A 5. Overtone [Hz],Channel A 5. FWHM [Hz],Channel A 5. Gmax [mS],Channel A 5. Goffs [mS],Channel A 5. Q  [ ],Channel A 5. Residual  [ ],Channel A 5. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 5. Dissipation Variation [ ],Channel A 5. Overtone Variation [Hz],Channel A 5. FWHM Variation [Hz],Channel A 7. Boffs [mS],Channel A 7. Dissipation  [ ],Channel A 7. Fi [rad],Channel A Flow [ul/min],Channel A 7. Overtone [Hz],Channel A 7. FWHM [Hz],Channel A 7. Gmax [mS],Channel A 7. Goffs [mS],Channel A 7. Q  [ ],Channel A 7. Residual  [ ],Channel A 7. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 7. Dissipation Variation [ ],Channel A 7. Overtone Variation [Hz],Channel A 7. FWHM Variation [Hz],Channel A 9. Boffs [mS],Channel A 9. Dissipation  [ ],Channel A 9. Fi [rad],Channel A Flow [ul/min],Channel A 9. Overtone [Hz],Channel A 9. FWHM [Hz],Channel A 9. Gmax [mS],Channel A 9. Goffs [mS],Channel A 9. Q  [ ],Channel A 9. Residual  [ ],Channel A 9. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 9. Dissipation Variation [ ],Channel A 9. Overtone Variation [Hz],Channel A 9. FWHM Variation [Hz],Channel A 11. Boffs [mS],Channel A 11. Dissipation  [ ],Channel A 11. Fi [rad],Channel A Flow [ul/min],Channel A 11. Overtone [Hz],Channel A 11. FWHM [Hz],Channel A 11. Gmax [mS],Channel A 11. Goffs [mS],Channel A 11. Q  [ ],Channel A 11. Residual  [ ],Channel A 11. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 11. Dissipation Variation [ ],Channel A 11. Overtone Variation [Hz],Channel A 11. FWHM Variation [Hz],Channel A 13. Boffs [mS],Channel A 13. Dissipation  [ ],Channel A 13. Fi [rad],Channel A Flow [ul/min],Channel A 13. Overtone [Hz],Channel A 13. FWHM [Hz],Channel A 13. Gmax [mS],Channel A 13. Goffs [mS],Channel A 13. Q  [ ],Channel A 13. Residual  [ ],Channel A 13. Sauerbrey Mass [ng/cm2],Channel A Temp [Celsius],Channel A 13. Dissipation Variation [ ],Channel A 13. Overtone Variation [Hz],Channel A 13. FWHM Variation [Hz]
5.0455427,0.324476561,0.000308055,-0.001842239,0,4955248.811,1526.491242,1.464378287,-0.057108294,3246.169172,0.005928172,0,24.9943676,0,0,0,0.441345362,0.000163198,-0.007235696,0,14850290.24,2423.537347,1.023758184,0.016530366,6127.526879,0.014722887,0,24.9943676,0,0,0,0.649551481,0.000127801,-0.017333031,0,24747722.8,3162.790693,0.747011387,0.043511523,7824.647661,0.004205633,0,24.9943676,0,0,0,0.864814926,0.000107379,-0.028240717,0,34643761.7,3720.002807,0.597907419,0.084585526,9312.83214,0.005663191,0,24.9943676,0,0,0,1.069404296,9.71E-05,-0.034496581,0,44540537.91,4327.042063,0.48463759,0.103589373,10293.53014,0.024113919,0,24.9943676,0,0,0,1.322904992,8.72E-05,-0.023563033,0,54437070.54,4746.283896,0.419907155,0.110927224,11469.40885,0.016664358,0,24.9943676,0,0,0,1.605232811,8.19E-05,-0.015073479,0,64334159.28,5266.518998,0.362158295,0.231363946,12215.68921,0.018998335,0,24.9943676,0,0,0
10.0920893,0.324655136,0.00030806,-0.001974363,0,4955248.99,1526.515072,1.464211212,-0.057103229,3246.118615,0.006288277,-3.173682778,24.99811554,4.80E-09,0.179304112,0.023829884,0.441097748,0.000163154,-0.007141646,0,14850290.09,2422.884724,1.023624124,0.016739637,6129.177317,0.014036497,0.872460147,24.99811554,-4.39E-08,-0.147874601,-0.652623807,0.649338524,0.000127739,-0.017609502,0,24747723.48,3161.256969,0.747109617,0.043456195,7828.444103,0.004285134,-2.406258093,24.99811554,-6.20E-08,0.679733925,-1.533723943,0.865061264,0.000107326,-0.028107011,0,34643761.61,3718.16261,0.597562355,0.084612391,9317.441232,0.005816173,0.235687833,24.99811554,-5.31E-08,-0.093209878,-1.840197107,1.068241689,9.67E-05,-0.030820951,0,44540528.11,4305.414054,0.483867376,0.104852694,10345.23685,0.020328802,19.26740885,24.99811554,-4.86E-07,-9.796987548,-21.62800933,1.32252433,8.71E-05,-0.024930553,0,54437074.6,4744.019631,0.419048028,0.111408682,11474.88392,0.017016385,-6.538246914,24.99811554,-4.16E-08,4.063317291,-2.264265052,1.605532754,8.20E-05,-0.017385879,0,64334165.77,5272.276109,0.361956462,0.231247768,12202.3514,0.016329684,-8.838987938,24.99811554,8.95E-08,6.491912045,5.757111628
15.1382238,0.32485195,0.000307953,-0.001762038,0,4955248.818,1525.983179,1.46413842,-0.056871843,3247.249962,0.00611558,-0.125594321,25.00398445,-1.03E-07,0.007095724,-0.508063476,0.441153187,0.000163137,-0.006143043,0,14850289.13,2422.631521,1.022705541,0.017200059,6129.817516,0.011037376,6.512656302,25.00398445,-6.10E-08,-1.103840051,-0.905826015,0.649594278,0.000127751,-0.017622798,0,24747723.08,3161.534078,0.747175472,0.04342132,7827.757813,0.004276078,-1.011012695,25.00398445,-5.08E-08,0.285596807,-1.256614396,0.864483275,0.000107396,-0.028407561,0,34643761.94,3720.584666,0.597876386,0.084194666,9311.375779,0.005028139,-0.593683185,25.00398445,1.68E-08,0.23478996,0.581858394,1.066962003,9.69E-05,-0.032578903,0,44540530.36,4316.141374,0.483705601,0.104128744,10319.52536,0.019292733,14.83706098,25.00398445,-2.45E-07,-7.544268295,-10.90068925,1.322273851,8.70E-05,-0.022158569,0,54437067.19,4734.198831,0.420108216,0.110932675,11498.68629,0.015712865,5.387254738,25.00398445,-2.22E-07,-3.348011419,-12.0850649,1.605569543,8.19E-05,-0.016664935,0,64334164.99,5269.588011,0.361583575,0.231381563,12208.57586,0.017281909,-7.766677937,25.00398445,4.77E-08,5.704339728,3.069013354
20.1838654,0.324896146,0.000308118,-0.002021006,0,4955249.045,1526.798976,1.46431053,-0.057256409,3245.515044,0.005512753,-4.135757577,25.00172043,6.21E-08,0.23365862,0.307733772,0.441044037,0.000163019,-0.006167523,0,14850288.62,2420.881787,1.023793444,0.017012309,6134.247734,0.01732447,9.560705219,25.00172043,-1.79E-07,-1.620458512,-2.655560165,0.649310829,0.000127782,-0.017762888,0,24747723.9,3162.315061,0.74683353,0.043487326,7825.824885,0.003871445,-3.888736757,25.00172043,-1.92E-08,1.098513208,-0.47563207,0.864518766,0.000107199,-0.028043711,0,34643760.42,3713.761323,0.597538118,0.084707366,9328.483283,0.005693852,3.258020606,25.00172043,-1.80E-07,-1.288482726,-6.241484525,1.067391375,9.65E-05,-0.030007781,0,44540526.41,4297.672438,0.483253208,0.10512205,10363.87185,0.021333748,22.61082686,25.00172043,-6.59E-07,-11.49703061,-29.36962489,1.321706946,8.70E-05,-0.025264207,0,54437074.42,4733.462713,0.418666373,0.111681863,11500.47602,0.01558605,-6.242805845,25.00172043,-2.36E-07,3.879709847,-12.82118312,1.604470057,8.24E-05,-0.020440449,0,64334171.74,5297.936739,0.36245914,0.230127574,12143.25027,0.016449054,-16.95560666,25.00172043,4.88E-07,12.45327043,31.41774181
25.2178124,0.324997317,0.000308085,-0.001886325,0,4955248.979,1526.638054,1.464141556,-0.057148416,3245.857109,0.005425932,-2.974733725,24.99326897,2.96E-08,0.168064052,0.146811566,0.440621327,0.000163377,-0.00765219,0,14850290.59,2426.1954,1.024553604,0.015757402,6120.813926,0.014121772,-2.082066615,24.99326897,1.79E-07,0.352892647,2.658052361,0.649337931,0.000127689,-0.01784598,0,24747724.02,3160.020436,0.746945157,0.043597998,7831.507588,0.003857103,-4.32399,24.99326897,-1.12E-07,1.221466102,-2.770257226,0.864791547,0.000107382,-0.028321063,0,34643761.88,3720.131015,0.597343094,0.084418661,9312.511237,0.005417263,-0.445217075,24.99326897,3.70E-09,0.17607455,0.128207759,1.067013178,9.70E-05,-0.033785081,0,44540537.1,4320.683959,0.484068169,0.103872647,10308.6774,0.021475949,1.58041462,24.99326897,-1.43E-07,-0.803600654,-6.358103634,1.321162182,8.65E-05,-0.022930142,0,54437068.83,4711.345893,0.419684918,0.111675046,11554.46237,0.013682226,2.751545708,24.99326897,-6.42E-07,-1.710000157,-34.93800305,1.605194782,8.16E-05,-0.017636265,0,64334161.71,5247.107217,0.361261121,0.231832711,12260.88186,0.019340845,-3.307800071,24.99326897,-3.02E-07,2.429457679,-19.4117803
30.2618095,0.324904621,0.000308054,-0.001785747,0,4955248.838,1526.485048,1.464035925,-0.057072274,3246.182361,0.006300513,-0.477275369,24.99785042,-1.25E-09,0.02696471,-0.006193717,0.441203546,0.000163326,-0.006773524,0,14850290.27,2425.441741,1.023503634,0.016503087,6122.715716,0.013261052,-0.170195342,24.99785042,1.28E-07,0.028846668,1.904393866,0.649273975,0.000127693,-0.017477779,0,24747723.29,3160.101428,0.746877173,0.043704255,7831.30664,0.004337401,-1.756796937,24.99785042,-1.09E-07,0.496270321,-2.689264894,0.865029231,0.000107175,-0.027771504,0,34643761.64,3712.951924,0.597332106,0.084930379,9330.517161,0.00560212,0.157403975,24.99785042,-2.04E-07,-0.06225016,-7.050883335,1.067996845,9.69E-05,-0.033293017,0,44540532.02,4313.864818,0.484796716,0.103687797,10324.97167,0.022157515,11.57026909,24.99785042,-2.96E-07,-5.883187674,-13.17724486,1.321564048,8.68E-05,-0.020862442,0,54437062.62,4724.433304,0.419770076,0.111377443,11522.45341,0.019691251,12.74401873,24.99785042,-4.01E-07,-7.92001164,-21.85059203,1.604896503,8.23E-05,-0.018274777,0,64334165.59,5296.257911,0.361190719,0.230852137,12147.09832,0.017735622,-8.595024986,24.99785042,4.62E-07,6.312730215,29.73891338
35.2937415,0.325076788,0.000308099,-0.001685826,0,4955248.804,1526.708207,1.463916959,-0.057142532,3245.707844,0.006040218,0.128981208,24.99761772,4.38E-08,-0.007287074,0.216965196,0.440476935,0.000163032,-0.006009236,0,14850289.01,2421.067648,1.022975758,0.017379759,6133.776981,0.012750293,7.243647708,24.99761772,-1.66E-07,-1.2277369,-2.469699056,0.649353201,0.000127724,-0.017396176,0,24747723.29,3160.887554,0.747053057,0.043561957,7829.35896,0.004234865,-1.759347959,24.99761772,-7.69E-08,0.496990949,-1.903138458,0.864478662,0.000107391,-0.027135124,0,34643759.72,3720.435486,0.597859535,0.084213161,9311.748545,0.00546587,5.006765635,24.99761772,1.25E-08,-1.980076805,0.432678905,1.068811619,9.71E-05,-0.02978195,0,44540526.52,4324.627039,0.483689302,0.10383606,10299.27578,0.02677172,22.39401578,24.99761772,-5.42E-08,-11.38678768,-2.415024096,1.321682142,8.68E-05,-0.02333795,0,54437070.75,4727.382924,0.418896452,0.111872103,11515.26577,0.016227677,-0.327886787,24.99761772,-3.47E-07,0.20377145,-18.90097266,1.605013966,8.16E-05,-0.0167314,0,64334167,5248.669518,0.361108886,0.231958301,12257.23334,0.017457312,-10.50680981,24.99761772,-2.77E-07,7.716865964,-17.84948001
40.3348876,0.325164504,0.00030803,-0.001803666,0,4955248.965,1526.365741,1.464080594,-0.057078874,3246.436179,0.005764301,-2.724749599,24.9985218,-2.53E-08,0.153940655,-0.12550089,0.440820732,0.000163015,-0.006972535,0,14850290.03,2420.824888,1.022806635,0.017433996,6134.392495,0.013771133,1.246842551,24.9985218,-1.83E-07,-0.211329246,-2.712458981,0.649050319,0.000127702,-0.017582777,0,24747723.46,3160.325461,0.746911708,0.043731905,7830.751538,0.004086886,-2.343945284,24.9985218,-9.96E-08,0.662131436,-2.465232225,0.864329775,0.000107322,-0.027704034,0,34643760.82,3718.048426,0.597441386,0.084718347,9317.727167,0.005442548,2.226991586,24.9985218,-5.64E-08,-0.880731136,-1.954381442,1.067334241,9.70E-05,-0.032210894,0,44540531.81,4319.389051,0.48317237,0.10434128,10311.76661,0.020087509,11.99858137,24.9985218,-1.72E-07,-6.100973576,-7.653012178,1.322147405,8.71E-05,-0.022694416,0,54437069.45,4739.304563,0.419732374,0.110769384,11486.29904,0.018228804,1.755781522,24.9985218,-1.28E-07,-1.091163658,-6.979333368,1.604374195,8.22E-05,-0.016180466,0,64334164.22,5285.215055,0.362394274,0.230613875,12172.47805,0.01876353,-6.723594582,24.9985218,2.91E-07,4.938233308,18.69605703
45.3695311,0.325014493,0.000308037,-0.001903859,0,4955249.04,1526.399788,1.46413958,-0.057048694,3246.363816,0.00566281,-4.059340338,25.00377655,-1.85E-08,0.229341262,-0.09145418,0.442126098,0.000163192,-0.00631954,0,14850289.43,2423.442087,1.023074407,0.017141919,6127.767402,0.015042044,4.79401052,25.00377655,-6.41E-09,-0.812544156,-0.09525985,0.649381462,0.000127807,-0.017554099,0,24747723.56,3162.94133,0.747152505,0.043392706,7824.275247,0.003962853,-2.684782449,25.00377655,6.08E-09,0.758413121,0.150637281,0.864764574,0.000107354,-0.027963756,0,34643760.98,3719.161044,0.597660132,0.084466582,9314.939733,0.0057344,1.838316243,25.00377655,-2.43E-08,-0.727017723,-0.84176358,1.068271383,9.72E-05,-0.031978445,0,44540531.22,4330.590925,0.484515222,0.103413677,10285.09319,0.022888246,13.1555352,25.00377655,7.97E-08,-6.689255185,3.548861881,1.321623413,8.70E-05,-0.023828224,0,54437072.54,4734.728361,0.419132458,0.111249225,11497.40141,0.016957766,-3.222810916,25.00377655,-2.12E-07,2.002876841,-11.55553573,1.604635854,8.19E-05,-0.017824151,0,64334166.57,5267.513906,0.361676957,0.231458708,12213.38334,0.017143629,-9.927195483,25.00377655,1.55E-08,7.291160524,0.994908583
50.424149,0.325250338,0.000308068,-0.00188703,0,4955248.998,1526.554462,1.464083909,-0.057091609,3246.03486,0.006645416,-3.302623187,25.00528908,1.27E-08,0.186588881,0.063219533,0.441712269,0.000163275,-0.007225512,0,14850290.56,2424.677312,1.023992745,0.016411274,6124.646147,0.016010349,-1.896731321,25.00528908,7.68E-08,0.321479885,1.139965111,0.649357075,0.000127808,-0.017411642,0,24747722.98,3162.96895,0.74708708,0.043486158,7824.206742,0.003755303,-0.663468881,25.00528908,7.20E-09,0.187420588,0.178257413,0.864638986,0.000107404,-0.027794178,0,34643760.7,3720.861728,0.597724868,0.084378356,9310.682103,0.005708797,2.542809588,25.00528908,2.48E-08,-1.00563091,0.858920906,1.068169292,9.70E-05,-0.030906318,0,44540529.18,4321.604326,0.483727119,0.104108264,10306.48015,0.020257336,17.15957561,25.00528908,-1.22E-07,-8.72520794,-5.437736821,1.321506698,8.71E-05,-0.02114332,0,54437065.55,4741.058098,0.419553502,0.111012068,11482.04988,0.016812771,8.025257631,25.00528908,-9.60E-08,-4.987448245,-5.225798498,1.604335949,8.17E-05,-0.019554153,0,64334167.53,5254.741902,0.361493601,0.231908129,12243.06897,0.018869296,-11.23072639,25.00528908,-1.83E-07,8.248556107,-11.77709534
